iter	Logloss
0	0.6930830047
1	0.6930710853
2	0.6930657931
3	0.6929934496
4	0.6929552828
5	0.6929000698
6	0.692893336
7	0.6928882668
8	0.6928118185
9	0.692766374
10	0.6927399317
11	0.6927083912
12	0.6926654661
13	0.6926316955
14	0.6925784123
15	0.6925349816
16	0.6924691808
17	0.6924398193
18	0.69236178
19	0.6923315914
20	0.6922580154
21	0.6922273868
22	0.6921850816
23	0.6921525549
24	0.6921507607
25	0.692087453
26	0.692069661
27	0.6920449644
28	0.692014722
29	0.6919551489
30	0.6919442313
31	0.6918734338
32	0.6918071713
33	0.6918051385
34	0.6917726773
35	0.6917702994
36	0.6917107082
37	0.6916404204
38	0.6916054608
39	0.6915887664
40	0.691528919
41	0.6914937487
42	0.6914838359
43	0.6914400586
44	0.691388573
45	0.6913635786
46	0.6913285194
47	0.6912687622
48	0.6911975548
49	0.6911344999
50	0.6911127487
51	0.691047369
52	0.6909985661
53	0.6909756489
