iter	Passed	Remaining
0	80	161572
1	123	123864
2	176	117310
3	271	135665
4	361	144319
5	452	150430
6	487	138892
7	513	127868
8	596	131974
9	686	136596
10	761	137636
11	846	140317
12	931	142414
13	1020	144766
14	1099	145442
15	1182	146615
16	1278	149096
17	1360	149799
18	1438	149937
19	1533	151811
20	1615	152272
21	1703	153165
22	1797	154538
23	1890	155617
24	1928	152365
25	2010	152670
26	2090	152734
27	2174	153132
28	2262	153752
29	2345	154044
30	2423	153914
31	2502	153906
32	2595	154730
33	2645	152982
34	2723	152910
35	2782	151777
36	2874	152478
37	2951	152368
38	3047	153229
39	3121	152954
40	3199	152891
41	3291	153434
42	3333	151712
43	3428	152422
44	3509	152468
45	3587	152388
46	3667	152390
47	3759	152884
48	3839	152870
49	3934	153444
50	4020	153645
51	4116	154206
52	4197	154197
53	4292	154693
