CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 0.125000 1754557655.6418
MEM 18.375000 1754557655.7452
MEM 21.125000 1754557655.8485
MEM 32.976562 1754557655.9516
MEM 44.601562 1754557656.0583
MEM 54.886719 1754557656.1629
MEM 66.734375 1754557656.2673
MEM 73.484375 1754557656.3717
MEM 80.531250 1754557656.4755
MEM 81.156250 1754557656.5787
MEM 81.906250 1754557656.6817
MEM 82.781250 1754557656.7847
MEM 83.656250 1754557656.8878
MEM 84.531250 1754557656.9909
MEM 85.281250 1754557657.0941
MEM 86.406250 1754557657.1970
MEM 95.914062 1754557657.3002
MEM 98.414062 1754557657.4032
MEM 98.414062 1754557657.5063
MEM 98.414062 1754557657.6092
MEM 98.414062 1754557657.7123
MEM 98.414062 1754557657.8154
MEM 98.414062 1754557657.9186
MEM 98.414062 1754557658.0217
MEM 98.414062 1754557658.1247
MEM 98.414062 1754557658.2278
MEM 98.414062 1754557658.3321
MEM 100.414062 1754557658.4409
MEM 100.414062 1754557658.5544
MEM 100.414062 1754557658.6607
MEM 100.914062 1754557658.7644
MEM 101.289062 1754557658.8721
MEM 109.539062 1754557658.9822
MEM 111.539062 1754557659.0894
MEM 121.515625 1754557659.1988
MEM 129.140625 1754557659.3034
MEM 137.265625 1754557659.4088
MEM 138.015625 1754557659.5134
MEM 139.015625 1754557659.6164
MEM 141.265625 1754557659.7195
MEM 147.265625 1754557659.8226
MEM 154.765625 1754557659.9260
MEM 163.640625 1754557660.0290
MEM 176.515625 1754557660.1324
MEM 212.765625 1754557660.2355
MEM 218.140625 1754557660.3386
MEM 214.050781 1754557660.4421
MEM 211.156250 1754557660.5451
MEM 240.058594 1754557660.6518
MEM 260.683594 1754557660.7551
MEM 288.933594 1754557660.8582
MEM 286.167969 1754557660.9625
MEM 294.542969 1754557661.0665
MEM 300.554688 1754557661.1702
MEM 310.554688 1754557661.2762
MEM 321.035156 1754557661.3828
MEM 334.035156 1754557661.4888
MEM 340.199219 1754557661.5920
MEM 340.199219 1754557661.6950
MEM 340.199219 1754557661.7978
MEM 340.199219 1754557661.9008
MEM 340.199219 1754557662.0038
MEM 344.199219 1754557662.1105
MEM 354.199219 1754557662.2169
MEM 368.949219 1754557662.3199
MEM 369.199219 1754557662.4230
MEM 369.199219 1754557662.5261
MEM 369.199219 1754557662.6291
MEM 370.699219 1754557662.7323
MEM 372.449219 1754557662.8354
MEM 374.699219 1754557662.9387
MEM 376.949219 1754557663.0417
MEM 378.574219 1754557663.1447
MEM 379.699219 1754557663.2478
MEM 382.585938 1754557663.3544
MEM 405.210938 1754557663.4607
MEM 408.210938 1754557663.5661
MEM 408.210938 1754557663.6729
MEM 408.210938 1754557663.7821
MEM 427.460938 1754557663.8850
MEM 454.257812 1754557664.0022
MEM 466.050781 1754557664.1092
MEM 471.375000 1754557664.2190
MEM 477.613281 1754557664.3341
MEM 479.703125 1754557664.4374
MEM 486.824219 1754557664.5406
MEM 487.472656 1754557664.6438
MEM 496.601562 1754557664.7507
MEM 501.109375 1754557664.8587
MEM 500.605469 1754557664.9683
MEM 504.585938 1754557665.0714
MEM 504.015625 1754557665.1768
MEM 511.234375 1754557665.2809
MEM 515.132812 1754557665.3869
MEM 511.847656 1754557665.4906
MEM 517.066406 1754557665.6028
MEM 511.898438 1754557665.7058
MEM 519.550781 1754557665.8098
MEM 514.222656 1754557665.9127
MEM 517.796875 1754557666.0194
MEM 527.171875 1754557666.1259
MEM 512.695312 1754557666.2288
MEM 533.554688 1754557666.3347
MEM 541.179688 1754557666.4389
MEM 545.929688 1754557666.5448
MEM 545.929688 1754557666.6541
MEM 546.429688 1754557666.7569
MEM 546.429688 1754557666.8661
MEM 546.429688 1754557666.9690
MEM 546.816406 1754557667.0744
MEM 559.796875 1754557667.1902
MEM 569.222656 1754557667.3062
MEM 569.792969 1754557667.4098
MEM 577.546875 1754557667.5147
MEM 580.484375 1754557667.6207
MEM 583.976562 1754557667.7263
MEM 579.953125 1754557667.8355
MEM 579.742188 1754557667.9385
MEM 584.441406 1754557668.0445
MEM 578.402344 1754557668.1474
MEM 580.257812 1754557668.2505
MEM 589.742188 1754557668.3588
MEM 592.457031 1754557668.4644
MEM 599.644531 1754557668.5802
MEM 599.019531 1754557668.6856
MEM 600.187500 1754557668.7901
MEM 603.941406 1754557668.8934
MEM 604.316406 1754557668.9964
MEM 601.410156 1754557669.1024
MEM 611.570312 1754557669.2088
MEM 607.964844 1754557669.3117
MEM 610.054688 1754557669.4178
MEM 608.234375 1754557669.5232
MEM 613.718750 1754557669.6297
MEM 619.097656 1754557669.7354
MEM 621.019531 1754557669.8423
MEM 626.960938 1754557669.9495
MEM 632.195312 1754557670.0595
MEM 628.507812 1754557670.1693
MEM 623.859375 1754557670.2723
MEM 626.984375 1754557670.3781
MEM 630.199219 1754557670.4832
MEM 634.441406 1754557670.5876
MEM 632.531250 1754557670.6919
MEM 632.160156 1754557670.7995
MEM 633.308594 1754557670.9025
MEM 635.808594 1754557671.0054
MEM 641.433594 1754557671.1114
MEM 649.933594 1754557671.2167
MEM 656.683594 1754557671.3235
MEM 603.636719 1754557671.4341
MEM 612.468750 1754557671.5370
MEM 612.843750 1754557671.6462
MEM 612.843750 1754557671.7494
MEM 612.843750 1754557671.8582
MEM 612.843750 1754557671.9611
MEM 611.421875 1754557672.0669
MEM 610.824219 1754557672.1732
MEM 631.644531 1754557672.2814
MEM 637.441406 1754557672.3875
MEM 636.300781 1754557672.4930
MEM 637.132812 1754557672.5992
MEM 644.171875 1754557672.7059
MEM 644.156250 1754557672.8152
MEM 643.511719 1754557672.9181
MEM 649.136719 1754557673.0310
MEM 646.261719 1754557673.1340
MEM 652.644531 1754557673.2369
MEM 653.445312 1754557673.3409
MEM 656.234375 1754557673.4520
MEM 653.511719 1754557673.5550
MEM 656.425781 1754557673.6619
MEM 658.910156 1754557673.7676
