CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 0.125000 1754559256.4466
MEM 20.750000 1754559256.5499
MEM 33.113281 1754559256.6570
MEM 45.113281 1754559256.7602
MEM 57.121094 1754559256.8635
MEM 68.003906 1754559256.9666
MEM 84.253906 1754559257.0697
MEM 111.437500 1754559257.1729
MEM 112.187500 1754559257.2762
MEM 113.062500 1754559257.3793
MEM 113.937500 1754559257.4823
MEM 114.812500 1754559257.5853
MEM 115.687500 1754559257.6886
MEM 116.562500 1754559257.7917
MEM 117.437500 1754559257.8949
MEM 118.187500 1754559257.9979
MEM 119.062500 1754559258.1011
MEM 119.937500 1754559258.2043
MEM 120.812500 1754559258.3076
MEM 121.687500 1754559258.4110
MEM 122.562500 1754559258.5143
MEM 123.437500 1754559258.6175
MEM 124.312500 1754559258.7207
MEM 125.187500 1754559258.8240
MEM 125.937500 1754559258.9271
MEM 126.812500 1754559259.0302
MEM 127.687500 1754559259.1334
MEM 128.562500 1754559259.2366
MEM 129.437500 1754559259.3400
MEM 130.187500 1754559259.4432
MEM 131.062500 1754559259.5463
MEM 131.937500 1754559259.6494
MEM 132.687500 1754559259.7527
MEM 133.562500 1754559259.8561
MEM 134.437500 1754559259.9593
MEM 135.187500 1754559260.0627
MEM 136.062500 1754559260.1661
MEM 136.937500 1754559260.2694
MEM 137.687500 1754559260.3727
MEM 138.562500 1754559260.4759
MEM 139.437500 1754559260.5791
MEM 140.187500 1754559260.6823
MEM 141.062500 1754559260.7855
MEM 141.812500 1754559260.8888
MEM 142.437500 1754559260.9918
MEM 142.937500 1754559261.0954
MEM 143.687500 1754559261.1984
MEM 144.562500 1754559261.3017
MEM 145.437500 1754559261.4049
MEM 146.187500 1754559261.5081
MEM 147.062500 1754559261.6114
MEM 147.812500 1754559261.7145
MEM 148.687500 1754559261.8178
MEM 149.562500 1754559261.9210
MEM 150.437500 1754559262.0250
MEM 151.312500 1754559262.1282
MEM 152.187500 1754559262.2315
MEM 153.062500 1754559262.3346
MEM 153.937500 1754559262.4378
MEM 154.812500 1754559262.5411
MEM 155.687500 1754559262.6444
MEM 156.562500 1754559262.7477
MEM 157.437500 1754559262.8509
MEM 158.312500 1754559262.9540
MEM 159.187500 1754559263.0572
MEM 160.062500 1754559263.1604
MEM 160.937500 1754559263.2636
MEM 161.812500 1754559263.3668
MEM 162.687500 1754559263.4699
MEM 163.562500 1754559263.5730
MEM 164.437500 1754559263.6761
MEM 165.312500 1754559263.7793
MEM 166.187500 1754559263.8824
MEM 167.062500 1754559263.9854
MEM 167.937500 1754559264.0886
MEM 168.812500 1754559264.1918
MEM 169.687500 1754559264.2950
MEM 170.562500 1754559264.3980
MEM 171.437500 1754559264.5011
MEM 172.312500 1754559264.6043
MEM 180.464844 1754559264.7075
MEM 206.476562 1754559264.8142
MEM 244.351562 1754559264.9176
MEM 266.433594 1754559265.0208
MEM 210.496094 1754559265.1241
MEM 265.246094 1754559265.2273
MEM 182.250000 1754559265.3306
MEM 258.250000 1754559265.4338
MEM 179.019531 1754559265.5369
MEM 247.250000 1754559265.6404
MEM 276.953125 1754559265.7437
MEM 240.500000 1754559265.8474
MEM 282.390625 1754559265.9505
MEM 230.503906 1754559266.0535
MEM 284.351562 1754559266.1568
MEM 220.882812 1754559266.2600
MEM 258.882812 1754559266.3631
MEM 284.679688 1754559266.4662
MEM 243.382812 1754559266.5694
MEM 286.136719 1754559266.6727
MEM 228.386719 1754559266.7759
MEM 269.085938 1754559266.8792
MEM 208.320312 1754559266.9825
MEM 229.957031 1754559267.0856
MEM 229.957031 1754559267.1889
MEM 229.957031 1754559267.2922
MEM 229.957031 1754559267.3954
MEM 229.957031 1754559267.4985
MEM 229.957031 1754559267.6016
MEM 229.957031 1754559267.7050
MEM 229.957031 1754559267.8083
MEM 229.957031 1754559267.9116
MEM 229.957031 1754559268.0150
MEM 229.957031 1754559268.1181
MEM 229.957031 1754559268.2213
MEM 229.957031 1754559268.3245
MEM 229.957031 1754559268.4278
MEM 229.957031 1754559268.5311
MEM 229.957031 1754559268.6343
MEM 229.957031 1754559268.7377
MEM 229.957031 1754559268.8409
MEM 229.957031 1754559268.9442
MEM 229.957031 1754559269.0476
MEM 229.957031 1754559269.1508
MEM 229.957031 1754559269.2539
MEM 229.957031 1754559269.3572
MEM 229.957031 1754559269.4605
MEM 229.957031 1754559269.5643
MEM 229.957031 1754559269.6676
MEM 229.957031 1754559269.7709
MEM 229.957031 1754559269.8742
MEM 229.957031 1754559269.9776
MEM 229.957031 1754559270.0812
MEM 229.957031 1754559270.1844
MEM 229.957031 1754559270.2878
MEM 229.957031 1754559270.3911
MEM 229.957031 1754559270.4944
